"Gender","Department","Seniority","Education","Age","Tenure","WageHour","Start.Date"
"Male","Production","Intermediate","Graduates",25,26,42.3690910341966,"1992-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",64,26,33.173661226701,"1992-01-26 12:36:23"
"Male","Production","Junior","Graduates",53,16,19.6088657703084,"2002-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",37,6,33.108353327964,"2012-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",49,34,36.6749691948459,"1984-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",47,29,34.0839374717635,"1989-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",17,6,15.0947133245068,"2012-01-26 12:36:23"
"Male","Production","Senior","Graduates",56,35,86.3791952603895,"1983-01-26 12:36:23"
"Male","Packing","Senior","Graduates",40,18,64.5189352569711,"2000-01-26 12:36:23"
"Female","Accounting","Senior","Non Graduates",32,24,57.8350726906529,NA
"Female","Production","Junior","Graduates",21,15,18.7962999700037,"2003-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",47,23,14.2397742769692,"1995-01-26 12:36:23"
"Female","QualityAssuranse","Junior","Non Graduates",21,23,21.6583848636221,"1995-01-26 12:36:23"
"Male","Production","Intermediate","Graduates",49,30,35.82131092996,"1988-01-26 12:36:23"
"Female","Packing","Senior","Non Graduates",55,17,49.3565456866088,"2001-01-26 12:36:23"
"Male","Packing","Junior","Non Graduates",42,29,22.5425789384547,"1989-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",26,35,21.0131842623165,"1983-01-26 12:36:23"
"Male","IT","Junior","Non Graduates",48,2,13.2002850641081,"2016-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",58,14,21.6465223494693,"2004-01-26 12:36:23"
"Female","Packing","Junior","Non Graduates",18,9,14.2054864215847,"NaN"
"Female","QualityAssuranse","Junior","Non Graduates",26,2,16.993982405194,"2016-01-26 12:36:23"
"Female","Production","Intermediate","Non Graduates",62,25,24.6838012873963,"1993-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",59,32,21.3981885461627,"1986-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",17,26,17.6829306631512,"1992-01-26 12:36:23"
"Female","Packing","Junior","Graduates",35,25,22.9919173838892,"1993-01-26 12:36:23"
"Male","QualityAssuranse","Junior","Graduates",25,27,28.1051173223473,"1991-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",50,29,24.5494960035258,"1989-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",56,5,18.2536779479223,"2013-01-26 12:36:23"
"Female","Marketing","Intermediate","Non Graduates",26,23,23.5280105720161,"1995-01-26 12:36:23"
"Female","Distribution","Junior","Graduates",20,9,22.8934105463055,"NA"
"Male","Production","Intermediate","Non Graduates",31,18,26.8766173119172,"2000-01-26 12:36:23"
"Male","IT","Senior","Graduates",24,22,51.585374727052,"1996-01-26 12:36:23"
"Female","Production","Senior","Graduates",32,11,39.8772499465303,"2007-01-26 12:36:23"
"Female","QualityAssuranse","Junior","Non Graduates",63,30,22.0115982265062,"1988-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",26,15,38.6072958390744,"2003-01-26 12:36:23"
"Male","QualityAssuranse","Intermediate","Non Graduates",59,9,27.3614749973047,"2009-01-26 12:36:23"
"Male","Distribution","Junior","Non Graduates",17,7,21.1249281170838,"2011-01-26 12:36:23"
"Male","Sales","Junior","Non Graduates",58,9,13.4652140964686,"2009-01-26 12:36:23"
"Female","Production","Junior","Graduates",48,30,21.7216872663796,"1988-01-26 12:36:23"
"Male","Packing","Junior","Non Graduates",29,33,13.7587091400456,""
"Female","Marketing","Senior","Non Graduates",59,8,43.5521074130469,"2010-01-26 12:36:23"
"Male","Packing","Intermediate","Non Graduates",40,5,38.0408295263143,"2013-01-26 12:36:23"
"Female","Packing","Junior","Non Graduates",44,11,20.570695029324,"2007-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",27,24,14.7019216309733,"1994-01-26 12:36:23"
"Female","Production","Senior","Graduates",33,19,62.9910972158075,"1999-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",60,21,17.0876018849414,"1997-01-26 12:36:23"
"Male","Distribution","Junior","Non Graduates",30,9,19.7382415106915,"2009-01-26 12:36:23"
"Male","Packing","Intermediate","Non Graduates",56,25,29.464043941902,"1993-01-26 12:36:23"
"Male","Production","Intermediate","Graduates",57,8,30.2536386732211,"2010-01-26 12:36:23"
"Female","Sales","Junior","Non Graduates",38,34,11.2253433334953,"1984-01-26 12:36:23"
"Female","Accounting","Junior","Non Graduates",51,25,18.693890133012,"1993-01-26 12:36:23"
"Female","Packing","Senior","Non Graduates",20,22,43.0306613684395,"1996-01-26 12:36:23"
"Male","Packing","Senior","Graduates",46,0,86.1555622336633,"2018-01-26 12:36:23"
"Male","QualityAssuranse","Senior","Graduates",33,27,76.3806008534985,"1991-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",39,13,14.0628687135703,"2005-01-26 12:36:23"
"Male","QualityAssuranse","Intermediate","Graduates",39,19,30.4505224526331,"1999-01-26 12:36:23"
"Female","Packing","Intermediate","Non Graduates",35,6,25.6120853925128,"2012-01-26 12:36:23"
"Female","Packing","Junior","Graduates",20,17,19.4378319945775,"2001-01-26 12:36:23"
"Male","Packing","Intermediate","Graduates",60,8,43.0101017132725,"2010-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",18,10,26.0869846626202,"2008-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",62,19,20.1652286241891,"1999-01-26 12:36:23"
"Male","Production","Intermediate","Graduates",58,32,35.694044247204,"1986-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",32,2,20.0742994425787,"2016-01-26 12:36:23"
"Male","Production","Senior","Non Graduates",50,8,61.0791059676698,"2010-01-26 12:36:23"
"Female","Distribution","Junior","Non Graduates",31,16,20.3064091050874,"2002-01-26 12:36:23"
"Female","Production","Senior","Non Graduates",39,9,54.1462765709027,"2009-01-26 12:36:23"
"Female","Packing","Junior","Graduates",29,21,24.3836498442638,"1997-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",22,4,18.0283845200259,"2014-01-26 12:36:23"
"Male","Packing","Junior","Non Graduates",48,14,18.7236626359811,"2004-01-26 12:36:23"
"Male","Distribution","Senior","Graduates",53,10,60.8846144941419,"2008-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",49,10,19.2219699758651,"2008-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",51,5,31.3566080856305,"2013-01-26 12:36:23"
"Female","Packing","Intermediate","Non Graduates",56,32,27.4921529402617,"1986-01-26 12:36:23"
"Male","Distribution","Junior","Non Graduates",61,35,14.0745923083147,"1983-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",59,11,20.0881457008781,"2007-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",17,29,36.2651036272083,"1989-01-26 12:36:23"
"Male","Packing","Senior","Graduates",36,32,77.7770372810814,"1986-01-26 12:36:23"
"Female","Accounting","Junior","Graduates",38,24,21.5570958818138,"1994-01-26 12:36:23"
"Female","Packing","Senior","Graduates",56,29,48.1648218543163,"1989-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",37,25,19.8833516536619,"1993-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",61,11,20.0200162277877,"2007-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",49,15,17.631648868852,"2003-01-26 12:36:23"
"Male","Production","Senior","Non Graduates",50,28,72.3973604443935,"1990-01-26 12:36:23"
"Male","Packing","Intermediate","Non Graduates",51,10,27.9087415492286,"2008-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",27,22,12.7847304941171,"1996-01-26 12:36:23"
"Female","Production","Senior","Non Graduates",64,12,41.1933375887122,"2006-01-26 12:36:23"
"Male","Packing","Intermediate","Non Graduates",21,31,32.8347838016958,"1987-01-26 12:36:23"
"Male","Production","Senior","Non Graduates",32,16,70.4392832306539,"2002-01-26 12:36:23"
"Male","Marketing","Senior","Non Graduates",47,2,65.8946695722153,"2016-01-26 12:36:23"
"Male","QualityAssuranse","Junior","Non Graduates",31,24,22.6882698722778,"1994-01-26 12:36:23"
"Female","Production","Junior","Graduates",46,5,22.5470994453206,"2013-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",64,25,38.236446918176,"1993-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",57,1,26.993642668445,"2017-01-26 12:36:23"
"Female","Marketing","Intermediate","Graduates",30,33,38.7451607677291,"1985-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",56,35,12.1177842733978,"1983-01-26 12:36:23"
"Female","Packing","Junior","Non Graduates",54,32,20.1875001769799,"1986-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",29,14,25.0077937931244,"2004-01-26 12:36:23"
"Female","Packing","Intermediate","Non Graduates",22,32,31.704147427693,"1986-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",21,2,10.2768521240602,"2016-01-26 12:36:23"
"Female","Production","Senior","Graduates",25,15,57.2522542558689,"2003-01-26 12:36:23"
"Female","Marketing","Junior","Graduates",20,12,19.0266047741725,"2006-01-26 12:36:23"
"Male","Packing","Senior","Non Graduates",26,2,50.9185267852218,"2016-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",28,25,14.8775441265561,"1993-01-26 12:36:23"
"Male","Production","Junior","Graduates",41,6,19.6354760864124,"2012-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",34,1,18.8149018922994,"2017-01-26 12:36:23"
"Male","Packing","Senior","Graduates",17,21,51.9489866697246,"1997-01-26 12:36:23"
"Male","Packing","Intermediate","Non Graduates",56,27,29.5102650195186,"1991-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",59,14,13.7489972895226,"2004-01-26 12:36:23"
"Female","Production","Senior","Non Graduates",38,10,42.2716614061278,"2008-01-26 12:36:23"
"Male","Production","Intermediate","Non Graduates",57,15,27.8469157335934,"2003-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",21,15,22.906187339186,"2003-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",52,29,17.2128208431376,"1989-01-26 12:36:23"
"Female","Packing","Intermediate","Non Graduates",26,21,27.7026127938064,"1997-01-26 12:36:23"
"Female","Packing","Junior","Graduates",49,12,14.6455178181578,"2006-01-26 12:36:23"
"Female","Packing","Junior","Non Graduates",58,9,21.9347686057916,"2009-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",62,3,23.8900944585154,"2015-01-26 12:36:23"
"Male","IT","Senior","Graduates",42,3,45.3755699111875,"2015-01-26 12:36:23"
"Male","Production","Intermediate","Graduates",56,1,38.9415447610527,"2017-01-26 12:36:23"
"Female","QualityAssuranse","Junior","Non Graduates",35,8,14.0055527819672,"2010-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",49,18,19.6638731466938,"2000-01-26 12:36:23"
"Male","Packing","Senior","Non Graduates",49,16,77.7147921888306,"2002-01-26 12:36:23"
"Male","Distribution","Senior","Non Graduates",54,32,68.559894131874,"1986-01-26 12:36:23"
"Female","Production","Junior","Non Graduates",56,23,16.4743936741936,"1995-01-26 12:36:23"
"Male","QualityAssuranse","Intermediate","Non Graduates",29,1,26.9532754232194,"2017-01-26 12:36:23"
"Female","Packing","Junior","Non Graduates",58,35,19.5290846785027,"1983-01-26 12:36:23"
"Female","Packing","Senior","Non Graduates",58,17,56.4998208780224,"2001-01-26 12:36:23"
"Male","Packing","Senior","Non Graduates",29,22,74.976655396533,"1996-01-26 12:36:23"
"Male","Production","Junior","Non Graduates",50,24,20.665234836606,"1994-01-26 12:36:23"
"Female","Production","Intermediate","Non Graduates",54,31,30.0434355494453,"1987-01-26 12:36:23"
